event_type,x,y,x2,y2,team,opponent,match_id,phase,player,receiver,outcome,shot_result,body_part,minute,second,period,shirt_number,sequence_id
pass,15.88215835898934,73.22477235484587,19.364002058234576,65.3602508378243,Zamalek,Rivals FC,M1,final-third,Dieng,Salah,successful,,head,88,14,2,14,S2
pass,52.99082048166986,97.9888690867891,79.9890150552685,100.0,Al Ahly,Rivals FC,M2,build-up,Zizo,Zizo,successful,,head,54,43,2,23,
recovery,65.93055810057359,36.20978456060398,63.62277518695239,35.97121474159437,Zamalek,Rivals FC,M3,progression,,Zizo,successful,,left foot,51,57,1,26,
cross,34.11246687714733,53.70353770480939,40.04344388998642,65.69354079215317,Al Ahly,Rivals FC,M3,progression,Dieng,Zizo,successful,,head,77,4,1,8,
pass,83.45392119334016,2.100429039253815,100.0,17.792736790208547,Al Ahly,Rivals FC,M2,final-third,Kahraba,Salah,unsuccessful,,right foot,90,1,1,19,S2
carry,10.150757972671132,80.1053322612586,37.020799985112404,76.24112559112355,Zamalek,Rivals FC,M1,progression,Marwan,,unsuccessful,,head,53,47,2,18,S3
carry,5.745552222854888,37.48939669616006,7.2730282502709365,24.527914557851368,Zamalek,Rivals FC,M2,build-up,Dieng,Salah,successful,,right foot,79,49,2,7,S2
pass,70.73496040718045,60.95908362168151,97.13616132400433,62.52465187651611,Al Ahly,Rivals FC,M2,progression,Marwan,,unsuccessful,,left foot,54,47,2,19,
duel,56.316942611409935,20.53413543431686,64.47165616586757,31.13975333721922,Zamalek,Rivals FC,M3,build-up,Salah,,successful,,right foot,3,54,2,15,S1
pass,75.17886342725026,66.88646816092394,100.0,71.40845344754577,Zamalek,Rivals FC,M2,progression,,Marwan,successful,,right foot,88,45,1,23,
pass,93.47376663775245,49.819214856542324,100.0,36.05881710613722,Al Ahly,Rivals FC,M3,build-up,Salah,Zizo,unsuccessful,,left foot,72,27,2,22,S3
carry,51.09513721754385,99.29576446730195,60.08074372331252,79.06952174217847,Zamalek,Rivals FC,M2,progression,Salah,Salah,successful,,left foot,71,38,2,8,S1
carry,81.70274684626216,94.87618420884304,100.0,83.93848020288988,Al Ahly,Rivals FC,M3,final-third,Dieng,,successful,,head,20,50,1,10,S2
cross,64.78970496851628,57.0410468247796,82.22499195951016,46.002542490118955,Zamalek,Rivals FC,M2,final-third,Dieng,Salah,successful,,right foot,64,43,2,25,S2
duel,51.42145978980748,17.165051642862693,55.52922995545233,25.45701360228568,Zamalek,Rivals FC,M3,build-up,Zizo,Zizo,successful,,head,68,41,1,4,S1
tackle,50.32785388668628,28.784191132639727,83.6578429907115,30.207675059562984,Al Ahly,Rivals FC,M1,build-up,,Salah,successful,,head,46,24,1,22,S2
pass,99.19362363685495,54.252506849802714,100.0,65.65773635870234,Zamalek,Rivals FC,M2,progression,Salah,Zizo,unsuccessful,,left foot,31,43,2,16,
shot,71.23363128106514,80.12466415428149,57.95653962368486,79.75579880286901,Al Ahly,Rivals FC,M1,final-third,Dieng,,successful,Saved,head,8,22,2,9,
shot,81.61060872112455,89.11146068493917,49.4679398375026,100.0,Al Ahly,Rivals FC,M1,build-up,Zizo,Salah,unsuccessful,Blocked,right foot,4,48,1,26,
pass,47.44818409322048,87.89136821932229,41.033755132581035,88.73987727292038,Al Ahly,Rivals FC,M1,progression,Zizo,Zizo,successful,,head,69,43,1,19,S1
pass,63.979055746841276,77.88849031023736,64.6135953544247,85.40551217430539,Al Ahly,Rivals FC,M1,build-up,Marwan,,successful,,head,25,4,1,9,
block,6.097643270101461,45.56088771722929,16.954147076231312,41.26716591671142,Al Ahly,Rivals FC,M1,progression,Dieng,Salah,successful,,head,47,36,1,15,S3
pass,65.16961684937631,57.219384274999015,83.86003952342703,63.45522910407162,Al Ahly,Rivals FC,M2,progression,Salah,,successful,,head,92,16,1,24,S3
pass,3.835929194250187,25.66937170428869,33.317640991873375,39.763864932673826,Zamalek,Rivals FC,M3,progression,Marwan,Marwan,successful,,left foot,54,54,2,26,S1
clearance,37.948924163421424,55.70416126112846,50.63068347825911,65.98578944672333,Zamalek,Rivals FC,M2,final-third,Zizo,Zizo,unsuccessful,,head,77,15,1,17,
cross,44.23457125011826,37.47018226279298,53.277759383495344,53.918449778661866,Al Ahly,Rivals FC,M1,final-third,Marwan,Marwan,successful,,right foot,9,13,1,2,
carry,56.59657360434159,55.23611143707679,56.160920939691835,48.609604533557054,Al Ahly,Rivals FC,M2,final-third,Salah,Zizo,successful,,head,67,37,1,9,
recovery,57.15750981522978,3.6402569039500454,68.56157677939088,10.043967250541968,Al Ahly,Rivals FC,M1,progression,Dieng,,successful,,head,12,43,1,23,
pass,60.355088119545684,9.269141901108501,75.22250577319569,31.023937812106404,Al Ahly,Rivals FC,M2,progression,Dieng,Zizo,unsuccessful,,left foot,60,6,1,12,S2
duel,2.4518836326560045,65.64161081800931,0.0,69.57260383992693,Al Ahly,Rivals FC,M2,progression,,Salah,successful,,head,83,35,2,17,S2
pass,32.85374496846213,42.83309695186297,57.76713480344651,41.66944147599672,Al Ahly,Rivals FC,M1,build-up,Kahraba,,successful,,right foot,65,46,2,28,S3
pass,73.8096574539924,22.26122922117668,97.04801563201983,20.29023241456368,Al Ahly,Rivals FC,M1,build-up,Dieng,Marwan,successful,,head,6,45,1,4,S1
shot,78.24748735065226,96.82611863085249,76.35698326220381,91.24717364199361,Al Ahly,Rivals FC,M2,build-up,Salah,Zizo,successful,Blocked,head,90,17,1,29,
tackle,82.63035337766273,1.8321874006690053,85.37781884219848,4.463924121978402,Al Ahly,Rivals FC,M1,build-up,,Marwan,successful,,right foot,27,40,1,13,S3
