match_id,competition,season,match_date,team,player,minute,second,period,shot_x,shot_y,goal,outcome,body_part,shot_type,technique,play_pattern,set_piece,open_play,penalty,free_kick,one_on_one,first_time,open_goal,aerial_won,follows_dribble,assisted,assist_type,assist_cross,assist_through_ball,assist_cutback,statsbomb_xg
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Yasir Gharsan Al Shahrani,5,26,1,103.0,21.0,0,Blocked,Right Foot,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.011306748
7525,FIFA World Cup,2018,2018-06-14,Russia,Aleksandr Samedov,6,46,1,111.0,52.0,0,Blocked,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,True,False,False,False,True,cutback,False,False,True,0.047829717
7525,FIFA World Cup,2018,2018-06-14,Russia,Yuri Zhirkov,8,45,1,107.0,26.0,0,Blocked,Left Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,False,,False,False,False,0.02564916
7525,FIFA World Cup,2018,2018-06-14,Russia,Alan Dzagoev,10,49,1,106.0,49.0,0,Blocked,Right Foot,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.07510638
7525,FIFA World Cup,2018,2018-06-14,Russia,Yury Gazinskiy,11,32,1,112.0,47.0,1,Goal,Head,Open Play,Normal,From Corner,True,False,False,False,True,False,False,False,False,True,cross,True,False,False,0.14645855
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Mohammad Ibrahim Al Sahlawi,21,5,1,103.0,29.0,0,Blocked,Left Foot,Open Play,Normal,From Corner,True,False,False,False,False,False,False,False,False,False,,False,False,False,0.055627532
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Salem Mohammed Al Dawsari,27,27,1,92.0,39.0,0,Off T,Right Foot,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,True,pass,False,False,False,0.03360385
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Yasir Gharsan Al Shahrani,30,18,1,110.0,42.0,0,Off T,Head,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,True,cross,True,False,False,0.09728895
7525,FIFA World Cup,2018,2018-06-14,Russia,Denis Cheryshev,42,11,1,110.0,34.0,1,Goal,Left Foot,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.24924015
7525,FIFA World Cup,2018,2018-06-14,Russia,Aleksandr Samedov,51,7,2,97.0,50.0,0,Off T,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.032339387
7525,FIFA World Cup,2018,2018-06-14,Russia,Denis Cheryshev,62,0,2,108.0,24.0,0,Blocked,Left Foot,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.026239585
7525,FIFA World Cup,2018,2018-06-14,Russia,Denis Cheryshev,64,16,2,107.0,39.0,0,Saved,Head,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.12617204
7525,FIFA World Cup,2018,2018-06-14,Russia,Roman Zobnin,67,15,2,104.0,56.0,0,Saved,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.030546982
7525,FIFA World Cup,2018,2018-06-14,Russia,Artem Dzyuba,70,50,2,115.0,37.0,1,Goal,Head,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.29249918
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Salem Mohammed Al Dawsari,72,44,2,97.0,25.0,0,Off T,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.025765538
7525,FIFA World Cup,2018,2018-06-14,Russia,Roman Zobnin,76,25,2,110.0,42.0,0,Off T,Head,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,True,cross,True,False,False,0.089740254
7525,FIFA World Cup,2018,2018-06-14,Saudi Arabia,Hattan Babhir,81,31,2,104.0,57.0,0,Blocked,Left Foot,Open Play,Normal,From Throw In,False,True,False,False,False,False,False,False,False,False,,False,False,False,0.025213882
7525,FIFA World Cup,2018,2018-06-14,Russia,Daler Kuzyaev,83,35,2,86.0,38.0,0,Off T,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.02450558
7525,FIFA World Cup,2018,2018-06-14,Russia,Denis Cheryshev,90,46,2,104.0,23.0,1,Goal,Left Foot,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,True,pass,False,False,False,0.040819477
7525,FIFA World Cup,2018,2018-06-14,Russia,Aleksandr Golovin,93,57,2,99.0,52.0,1,Goal,Right Foot,Free Kick,Normal,From Free Kick,True,False,False,True,False,False,False,False,False,False,,False,False,False,0.0744545
7529,FIFA World Cup,2018,2018-06-16,Nigeria,Alex Iwobi,12,36,1,89.0,40.0,0,Blocked,Right Foot,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,False,,False,False,False,0.018994473
7529,FIFA World Cup,2018,2018-06-16,Croatia,Ivan Perišić,13,20,1,99.0,46.0,0,Off T,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,True,False,False,False,True,pass,False,False,False,0.06695514
7529,FIFA World Cup,2018,2018-06-16,Croatia,Andrej Kramarić,15,22,1,86.0,35.0,0,Off T,Right Foot,Open Play,Normal,From Free Kick,True,False,False,False,False,False,False,False,False,True,pass,False,False,False,0.019367732
7529,FIFA World Cup,2018,2018-06-16,Nigeria,Odion Jude Ighalo,20,58,1,109.0,59.0,0,Blocked,Right Foot,Open Play,Normal,Regular Play,False,True,False,False,False,False,False,False,False,True,pass,False,False,False,0.011507075
7529,FIFA World Cup,2018,2018-06-16,Nigeria,Oghenekaro Etebo,21,40,1,93.0,41.0,0,Off T,Right Foot,Open Play,Half Volley,From Corner,True,False,False,False,False,False,False,False,False,False,,False,False,False,0.022628231
