event_id,event_type,set_piece,team,opponent,player,x,y,end_x,end_y,outcome,shot_result,delivery_type,side,foot,subtype,players_in_box,first_contact_team,second_ball_team,retained,xg,marking,venue,minute,second,period,competition,season,match_id,match_label
COR001,corner,corner,FC Masar,Nile Stars,O. Marmoush,100,0,93,54,retained,,short,right,left,short,5,attack,attack,yes,,hybrid,home,3,30,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR002,corner,corner,FC Masar,Nile Stars,M. Salah,100,0,93,47,shot,Saved,inswing,right,left,direct,4,attack,defence,no,0.2,man,home,10,41,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR003,corner,corner,FC Masar,Nile Stars,M. Salah,100,0,94,40,goal,Goal,inswing,right,left,direct,5,attack,attack,no,0.2,man,home,17,20,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR004,corner,corner,FC Masar,Nile Stars,M. Salah,100,0,96,47,cleared,,outswing,right,left,direct,4,defence,defence,no,,hybrid,home,22,17,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR005,corner,corner,FC Masar,Nile Stars,M. Salah,100,0,91,62,shot,Saved,driven,right,left,direct,4,attack,attack,no,0.1,man,home,27,6,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR006,corner,corner,FC Masar,Nile Stars,O. Marmoush,100,0,86,59,goal,Goal,inswing,right,left,direct,4,attack,defence,no,0.2,man,home,31,45,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR007,corner,corner,FC Masar,Nile Stars,O. Marmoush,100,0,95,58,shot,Saved,inswing,right,left,direct,6,attack,attack,no,0.2,man,home,36,21,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR008,corner,corner,FC Masar,Nile Stars,O. Marmoush,100,0,88,45,retained,,inswing,right,left,direct,4,attack,attack,yes,,man,home,38,51,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR009,corner,corner,FC Masar,Nile Stars,Zizo,100,100,94,44,shot,Off Target,driven,left,right,direct,5,attack,defence,no,0.1,man,home,43,7,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR010,corner,corner,FC Masar,Nile Stars,Trezeguet,100,100,86,46,cleared,,inswing,left,right,direct,6,defence,attack,no,,zonal,home,48,11,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR011,corner,corner,FC Masar,Nile Stars,Zizo,100,100,88,44,shot,Off Target,inswing,left,right,direct,6,attack,defence,no,0.1,man,home,53,4,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR012,corner,corner,FC Masar,Nile Stars,Zizo,100,100,95,58,shot,Off Target,inswing,left,right,direct,6,attack,defence,no,0.2,zonal,home,55,37,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR013,corner,corner,FC Masar,Nile Stars,Zizo,100,100,88,58,shot,Off Target,outswing,left,right,direct,5,attack,attack,no,0.2,zonal,home,60,47,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR014,corner,corner,FC Masar,Nile Stars,Zizo,100,100,92,53,cleared,,driven,left,right,direct,7,defence,attack,no,,zonal,home,67,6,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
