event_type,x,y,x2,y2,team,opponent,match_id,phase,player,receiver,outcome,shot_result,body_part,minute,second,period,shirt_number,sequence_id
pass,10.25,74.07,27.06,78.59,Zamalek,Rivals FC,M1,build-up,ZAM_5,ZAM_2,successful,,foot,1,14,1,5,M1-S1
cross,70.13,41.95,83.1,30.86,Rivals FC,Zamalek,M1,progression,RIV_1,RIV_6,unsuccessful,,weak_foot,1,12,1,1,M1-S2
pass,9.27,9.67,38.17,14.86,Zamalek,Rivals FC,M1,transition,ZAM_3,ZAM_2,unsuccessful,,weak_foot,3,48,1,3,M1-S2
pass,61.85,86.17,79.94,96.4,Rivals FC,Zamalek,M1,progression,RIV_2,RIV_6,successful,,head,3,18,1,2,M1-S2
carry,67.02,70.18,89.36,48.75,Rivals FC,Zamalek,M1,defensive,RIV_6,,successful,,weak_foot,7,23,1,6,M1-S2
carry,55.69,68.46,84.4,82.26,Zamalek,Rivals FC,M1,build-up,ZAM_7,,successful,,head,9,59,1,7,M1-S2
pass,21.26,49.92,51.65,57.06,Rivals FC,Zamalek,M1,progression,RIV_4,RIV_6,successful,,foot,9,56,1,4,M1-S2
shot,94.93,31.92,100.0,50.0,Zamalek,Rivals FC,M1,build-up,ZAM_5,,successful,off_target,foot,11,37,1,5,M1-S2
pressure,59.59,46.8,25.14,55.32,Rivals FC,Zamalek,M1,build-up,RIV_7,,unsuccessful,,weak_foot,11,4,1,7,M1-S2
clearance,45.37,95.38,87.59,26.34,Rivals FC,Zamalek,M1,progression,RIV_6,,successful,,weak_foot,13,18,1,6,M1-S2
tackle,53.94,77.86,53.04,0.06,Zamalek,Rivals FC,M1,build-up,ZAM_4,,successful,,foot,17,23,1,4,M1-S2
pass,94.69,8.57,100,0,Rivals FC,Zamalek,M1,progression,RIV_4,RIV_1,unsuccessful,,foot,19,15,1,4,M1-S2
shot,83.48,61.5,100.0,50.0,Zamalek,Rivals FC,M1,final-third,ZAM_3,,successful,saved,head,21,33,1,3,M1-S2
pass,55.39,58.84,50.68,69.23,Zamalek,Rivals FC,M1,build-up,ZAM_4,ZAM_1,successful,,foot,23,21,1,4,M1-S2
pass,13.23,93.55,31.07,92.18,Zamalek,Rivals FC,M1,transition,ZAM_5,ZAM_7,unsuccessful,,foot,25,31,1,5,M1-S3
tackle,86.38,5.42,65.35,64.62,Rivals FC,Zamalek,M1,final-third,RIV_7,,successful,,foot,25,27,1,7,M1-S4
pass,46.26,87.45,44.28,100,Zamalek,Rivals FC,M1,build-up,ZAM_8,ZAM_2,unsuccessful,,foot,27,27,1,8,M1-S4
shot,82.03,68.23,100.0,50.0,Rivals FC,Zamalek,M1,build-up,RIV_1,,unsuccessful,saved,head,27,59,1,1,M1-S5
carry,99.54,55.58,100,38.32,Zamalek,Rivals FC,M1,build-up,ZAM_5,,successful,,weak_foot,29,44,1,5,M1-S5
pass,50.29,85.27,51.59,100,Rivals FC,Zamalek,M1,progression,RIV_6,RIV_1,successful,,foot,29,3,1,6,M1-S5
pressure,56.97,57.89,3.97,8.2,Zamalek,Rivals FC,M1,defensive,ZAM_4,,successful,,weak_foot,31,7,1,4,M1-S5
pass,26.56,13.09,47.38,10.95,Rivals FC,Zamalek,M1,build-up,RIV_4,RIV_7,unsuccessful,,foot,31,45,1,4,M1-S5
shot,92.02,68.96,100.0,50.0,Zamalek,Rivals FC,M1,defensive,ZAM_2,,successful,saved,weak_foot,33,34,1,2,M1-S5
tackle,93.18,10.36,87.81,26.45,Rivals FC,Zamalek,M1,defensive,RIV_1,,unsuccessful,,foot,33,52,1,1,M1-S6
cross,63.42,26.4,77.96,46.67,Zamalek,Rivals FC,M1,build-up,ZAM_4,ZAM_7,unsuccessful,,weak_foot,35,21,1,4,M1-S6
pass,63.71,26.2,88.36,28.78,Rivals FC,Zamalek,M1,build-up,RIV_1,RIV_2,successful,,foot,35,21,1,1,M1-S7
pressure,58.25,14.81,12.74,30.83,Zamalek,Rivals FC,M1,build-up,ZAM_3,,unsuccessful,,head,37,2,1,3,M1-S7
pass,87.47,97.38,100,100,Rivals FC,Zamalek,M1,progression,RIV_2,RIV_4,successful,,foot,37,49,1,2,M1-S7
interception,66.99,73.51,24.82,15.92,Rivals FC,Zamalek,M1,transition,RIV_6,,successful,,foot,39,59,1,6,M1-S7
