match,date,competition,team,opponent,venue,set_piece,phase,perspective,taker,foot,side,delivery,height,length,minute,half,start_x,start_y,end_x,end_y,players_in_box,first_contact,outcome,shot,goal,xg,second_ball,marking,video
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,attacking,own,M. Silva,left,right,In-swinger,high,long,12,1,100,100,95,44,6,attack,goal,yes,yes,0.34,attack,,https://youtube.com/watch?v=hc001
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,attacking,own,M. Silva,left,right,In-swinger,high,long,27,1,100,100,96,45,6,attack,shot,yes,no,0.12,defence,,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,attacking,own,M. Silva,left,right,In-swinger,high,long,41,1,100,100,94,46,5,attack,clearance,no,no,,defence,,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,attacking,own,T. Adeyemi,right,left,Out-swinger,high,long,58,2,100,0,93,57,5,attack,shot,yes,no,0.09,attack,,https://hudl.com/clip/hc002
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,attacking,own,T. Adeyemi,right,left,Out-swinger,high,long,73,2,100,0,92,58,4,defence,lost,no,no,,defence,,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Free Kick,attacking,own,M. Silva,left,central,Driven,low,long,34,1,72,40,88,48,5,attack,shot,yes,no,0.08,attack,,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Throw-in,attacking,own,K. Novak,right,right,Long,ground,long,66,2,84,2,90,30,3,attack,retained,no,no,,attack,,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,defending,own,,,,,,,19,1,100,100,95,52,4,defence,clearance,no,no,,defence,zonal,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Corner,defending,own,,,,,,,52,2,100,0,94,50,4,attack,shot,yes,no,0.10,attack,zonal,
Harbor City vs Rivertown,2026-02-01,Premier League,Harbor City,Rivertown,home,Penalty,attacking,own,M. Silva,left,central,Placed,low,short,80,2,88,50,100,50,1,attack,goal,yes,yes,0.79,attack,,https://youtube.com/watch?v=hc003
Harbor City vs Seaford,2026-02-08,Premier League,Harbor City,Seaford,away,Corner,attacking,own,M. Silva,left,right,In-swinger,high,long,8,1,100,100,95,45,6,attack,shot,yes,no,0.15,attack,,
